Vardas              Pavarde             Galutinis (Vid.)    
Vardas621      Pavarde621      5.20
Vardas623      Pavarde623      5.80
Vardas624      Pavarde624      7.50
Vardas626      Pavarde626      5.40
Vardas628      Pavarde628      5.00
Vardas63       Pavarde63       5.90
Vardas631      Pavarde631      5.40
Vardas632      Pavarde632      5.90
Vardas633      Pavarde633      5.70
Vardas634      Pavarde634      6.00
Vardas635      Pavarde635      8.90
Vardas637      Pavarde637      6.60
Vardas638      Pavarde638      7.00
Vardas64       Pavarde64       5.10
Vardas640      Pavarde640      8.00
Vardas642      Pavarde642      6.50
Vardas643      Pavarde643      7.00
Vardas644      Pavarde644      5.70
Vardas645      Pavarde645      7.00
Vardas647      Pavarde647      6.70
Vardas650      Pavarde650      5.90
Vardas652      Pavarde652      9.00
Vardas654      Pavarde654      7.70
Vardas657      Pavarde657      7.50
Vardas659      Pavarde659      6.60
Vardas661      Pavarde661      5.20
Vardas662      Pavarde662      5.80
Vardas664      Pavarde664      5.60
Vardas665      Pavarde665      6.70
Vardas666      Pavarde666      7.20
Vardas669      Pavarde669      5.30
Vardas673      Pavarde673      8.20
Vardas674      Pavarde674      6.70
Vardas675      Pavarde675      8.60
Vardas678      Pavarde678      8.60
Vardas680      Pavarde680      6.80
Vardas681      Pavarde681      5.60
Vardas682      Pavarde682      5.70
Vardas684      Pavarde684      6.30
Vardas685      Pavarde685      6.80
Vardas686      Pavarde686      6.30
Vardas688      Pavarde688      8.20
Vardas689      Pavarde689      5.90
Vardas69       Pavarde69       7.00
Vardas690      Pavarde690      5.60
Vardas691      Pavarde691      5.80
Vardas692      Pavarde692      6.90
Vardas694      Pavarde694      5.40
Vardas697      Pavarde697      6.60
Vardas698      Pavarde698      7.10
Vardas699      Pavarde699      5.20
Vardas7        Pavarde7        7.00
Vardas70       Pavarde70       6.40
Vardas700      Pavarde700      5.40
Vardas701      Pavarde701      8.60
Vardas706      Pavarde706      5.30
Vardas707      Pavarde707      5.00
Vardas708      Pavarde708      6.00
Vardas709      Pavarde709      6.50
Vardas711      Pavarde711      9.00
Vardas712      Pavarde712      5.90
Vardas713      Pavarde713      7.90
Vardas717      Pavarde717      6.50
Vardas718      Pavarde718      6.00
Vardas719      Pavarde719      6.60
Vardas721      Pavarde721      6.40
Vardas722      Pavarde722      6.90
Vardas723      Pavarde723      7.10
Vardas724      Pavarde724      7.60
Vardas729      Pavarde729      6.00
Vardas73       Pavarde73       7.60
Vardas731      Pavarde731      6.90
Vardas732      Pavarde732      7.10
Vardas733      Pavarde733      7.00
Vardas735      Pavarde735      6.70
Vardas736      Pavarde736      8.50
Vardas737      Pavarde737      5.10
Vardas738      Pavarde738      6.10
Vardas739      Pavarde739      7.90
Vardas74       Pavarde74       7.50
Vardas740      Pavarde740      7.30
Vardas743      Pavarde743      5.90
Vardas744      Pavarde744      8.20
Vardas745      Pavarde745      7.90
Vardas746      Pavarde746      6.40
Vardas750      Pavarde750      6.50
Vardas751      Pavarde751      8.60
Vardas752      Pavarde752      5.60
Vardas753      Pavarde753      5.10
Vardas754      Pavarde754      6.10
Vardas755      Pavarde755      7.60
Vardas757      Pavarde757      6.30
Vardas759      Pavarde759      6.20
Vardas76       Pavarde76       6.60
Vardas761      Pavarde761      6.90
Vardas763      Pavarde763      5.20
Vardas764      Pavarde764      6.00
Vardas765      Pavarde765      7.80
Vardas766      Pavarde766      6.40
Vardas769      Pavarde769      5.10
Vardas77       Pavarde77       5.40
Vardas771      Pavarde771      6.40
Vardas772      Pavarde772      5.20
Vardas779      Pavarde779      6.00
Vardas78       Pavarde78       7.50
Vardas780      Pavarde780      6.60
Vardas781      Pavarde781      7.10
Vardas783      Pavarde783      6.00
Vardas784      Pavarde784      8.00
Vardas786      Pavarde786      5.00
Vardas791      Pavarde791      5.90
Vardas792      Pavarde792      5.20
Vardas794      Pavarde794      6.00
Vardas795      Pavarde795      5.00
Vardas796      Pavarde796      7.90
Vardas798      Pavarde798      5.90
Vardas799      Pavarde799      7.70
Vardas8        Pavarde8        7.90
Vardas80       Pavarde80       5.30
Vardas800      Pavarde800      5.60
Vardas803      Pavarde803      7.00
Vardas806      Pavarde806      6.90
Vardas807      Pavarde807      9.20
Vardas809      Pavarde809      8.00
Vardas81       Pavarde81       8.50
Vardas810      Pavarde810      5.40
Vardas811      Pavarde811      6.90
Vardas813      Pavarde813      5.00
Vardas814      Pavarde814      5.30
Vardas815      Pavarde815      5.50
Vardas817      Pavarde817      6.40
Vardas819      Pavarde819      9.30
Vardas82       Pavarde82       6.20
Vardas821      Pavarde821      6.60
Vardas823      Pavarde823      9.00
Vardas825      Pavarde825      6.90
Vardas826      Pavarde826      7.80
Vardas827      Pavarde827      5.50
Vardas828      Pavarde828      5.50
Vardas829      Pavarde829      8.40
Vardas830      Pavarde830      7.20
Vardas831      Pavarde831      7.40
Vardas832      Pavarde832      7.40
Vardas837      Pavarde837      8.60
Vardas838      Pavarde838      7.80
Vardas839      Pavarde839      6.80
Vardas84       Pavarde84       5.60
Vardas840      Pavarde840      7.20
Vardas844      Pavarde844      7.00
Vardas847      Pavarde847      5.30
Vardas848      Pavarde848      7.00
Vardas849      Pavarde849      8.50
Vardas850      Pavarde850      7.70
Vardas851      Pavarde851      6.60
Vardas852      Pavarde852      7.60
Vardas854      Pavarde854      6.30
Vardas857      Pavarde857      7.60
Vardas859      Pavarde859      8.10
Vardas86       Pavarde86       5.80
Vardas860      Pavarde860      5.50
Vardas862      Pavarde862      6.10
Vardas863      Pavarde863      7.50
Vardas865      Pavarde865      5.00
Vardas867      Pavarde867      7.40
Vardas869      Pavarde869      5.40
Vardas871      Pavarde871      6.00
Vardas875      Pavarde875      9.00
Vardas876      Pavarde876      6.70
Vardas88       Pavarde88       6.50
Vardas882      Pavarde882      7.50
Vardas885      Pavarde885      6.90
Vardas886      Pavarde886      6.10
Vardas889      Pavarde889      8.30
Vardas89       Pavarde89       8.30
Vardas890      Pavarde890      7.40
Vardas891      Pavarde891      7.30
Vardas894      Pavarde894      7.60
Vardas9        Pavarde9        5.80
Vardas90       Pavarde90       8.90
Vardas900      Pavarde900      8.00
Vardas901      Pavarde901      5.80
Vardas902      Pavarde902      6.10
Vardas903      Pavarde903      5.00
Vardas904      Pavarde904      5.40
Vardas905      Pavarde905      6.00
Vardas907      Pavarde907      8.30
Vardas908      Pavarde908      6.40
Vardas912      Pavarde912      8.00
Vardas913      Pavarde913      7.40
Vardas915      Pavarde915      6.60
Vardas916      Pavarde916      5.80
Vardas917      Pavarde917      8.20
Vardas919      Pavarde919      6.20
Vardas92       Pavarde92       6.60
Vardas922      Pavarde922      9.20
Vardas923      Pavarde923      6.70
Vardas924      Pavarde924      5.20
Vardas926      Pavarde926      6.50
Vardas927      Pavarde927      6.50
Vardas929      Pavarde929      5.10
Vardas93       Pavarde93       5.50
Vardas930      Pavarde930      6.10
Vardas931      Pavarde931      7.50
Vardas932      Pavarde932      8.30
Vardas936      Pavarde936      6.70
Vardas937      Pavarde937      6.70
Vardas939      Pavarde939      7.70
Vardas940      Pavarde940      8.60
Vardas941      Pavarde941      6.50
Vardas942      Pavarde942      7.90
Vardas945      Pavarde945      6.80
Vardas946      Pavarde946      5.20
Vardas948      Pavarde948      5.40
Vardas951      Pavarde951      6.00
Vardas952      Pavarde952      7.60
Vardas956      Pavarde956      5.00
Vardas957      Pavarde957      6.50
Vardas959      Pavarde959      7.40
Vardas962      Pavarde962      6.70
Vardas963      Pavarde963      7.70
Vardas964      Pavarde964      5.10
Vardas965      Pavarde965      6.70
Vardas966      Pavarde966      6.80
Vardas97       Pavarde97       9.30
Vardas970      Pavarde970      6.10
Vardas971      Pavarde971      5.60
Vardas972      Pavarde972      6.40
Vardas973      Pavarde973      6.60
Vardas974      Pavarde974      6.60
Vardas975      Pavarde975      5.60
Vardas977      Pavarde977      6.80
Vardas979      Pavarde979      7.00
Vardas980      Pavarde980      6.60
Vardas981      Pavarde981      7.50
Vardas982      Pavarde982      5.50
Vardas983      Pavarde983      6.50
Vardas984      Pavarde984      5.80
Vardas985      Pavarde985      8.40
Vardas987      Pavarde987      8.30
Vardas99       Pavarde99       6.80
Vardas990      Pavarde990      8.00
Vardas992      Pavarde992      5.20
Vardas993      Pavarde993      6.70
Vardas997      Pavarde997      6.80
Vardas999      Pavarde999      6.40
