Vardas              Pavarde             Galutinis (Vid.)    
Vardas437      Pavarde437      3.90
Vardas439      Pavarde439      4.20
Vardas441      Pavarde441      4.50
Vardas442      Pavarde442      3.20
Vardas443      Pavarde443      4.70
Vardas444      Pavarde444      4.20
Vardas446      Pavarde446      3.40
Vardas45       Pavarde45       3.20
Vardas450      Pavarde450      4.60
Vardas451      Pavarde451      3.60
Vardas452      Pavarde452      3.70
Vardas453      Pavarde453      4.40
Vardas456      Pavarde456      3.10
Vardas458      Pavarde458      2.50
Vardas462      Pavarde462      4.20
Vardas469      Pavarde469      3.30
Vardas47       Pavarde47       2.90
Vardas470      Pavarde470      2.30
Vardas471      Pavarde471      2.40
Vardas473      Pavarde473      2.60
Vardas474      Pavarde474      3.00
Vardas475      Pavarde475      3.30
Vardas477      Pavarde477      3.40
Vardas479      Pavarde479      3.50
Vardas480      Pavarde480      3.80
Vardas482      Pavarde482      4.90
Vardas483      Pavarde483      4.70
Vardas485      Pavarde485      3.10
Vardas486      Pavarde486      3.20
Vardas491      Pavarde491      4.80
Vardas492      Pavarde492      2.60
Vardas495      Pavarde495      3.50
Vardas498      Pavarde498      4.60
Vardas50       Pavarde50       4.50
Vardas505      Pavarde505      3.30
Vardas506      Pavarde506      3.20
Vardas507      Pavarde507      4.50
Vardas508      Pavarde508      4.10
Vardas509      Pavarde509      4.40
Vardas510      Pavarde510      2.50
Vardas511      Pavarde511      4.20
Vardas514      Pavarde514      4.30
Vardas516      Pavarde516      4.70
Vardas517      Pavarde517      3.60
Vardas519      Pavarde519      3.40
Vardas52       Pavarde52       4.90
Vardas524      Pavarde524      3.20
Vardas525      Pavarde525      3.90
Vardas528      Pavarde528      3.90
Vardas529      Pavarde529      4.10
Vardas53       Pavarde53       2.80
Vardas531      Pavarde531      3.30
Vardas532      Pavarde532      3.40
Vardas535      Pavarde535      4.10
Vardas538      Pavarde538      3.20
Vardas544      Pavarde544      2.80
Vardas545      Pavarde545      4.90
Vardas549      Pavarde549      2.40
Vardas55       Pavarde55       3.40
Vardas550      Pavarde550      4.40
Vardas554      Pavarde554      4.70
Vardas555      Pavarde555      3.30
Vardas556      Pavarde556      3.00
Vardas557      Pavarde557      4.90
Vardas563      Pavarde563      2.90
Vardas564      Pavarde564      4.00
Vardas565      Pavarde565      4.60
Vardas57       Pavarde57       1.60
Vardas574      Pavarde574      3.20
Vardas580      Pavarde580      2.90
Vardas582      Pavarde582      4.70
Vardas586      Pavarde586      4.60
Vardas587      Pavarde587      3.00
Vardas588      Pavarde588      4.80
Vardas590      Pavarde590      2.70
Vardas591      Pavarde591      4.70
Vardas595      Pavarde595      3.00
Vardas597      Pavarde597      3.60
Vardas599      Pavarde599      3.90
Vardas6        Pavarde6        3.10
Vardas600      Pavarde600      3.90
Vardas601      Pavarde601      4.40
Vardas606      Pavarde606      3.30
Vardas611      Pavarde611      4.00
Vardas612      Pavarde612      3.20
Vardas614      Pavarde614      3.10
Vardas615      Pavarde615      4.40
Vardas617      Pavarde617      4.60
Vardas618      Pavarde618      4.70
Vardas62       Pavarde62       3.40
Vardas620      Pavarde620      4.30
Vardas622      Pavarde622      4.60
Vardas625      Pavarde625      3.20
Vardas627      Pavarde627      4.20
Vardas629      Pavarde629      2.60
Vardas630      Pavarde630      4.10
Vardas636      Pavarde636      3.40
Vardas639      Pavarde639      2.30
Vardas641      Pavarde641      4.20
Vardas646      Pavarde646      3.00
Vardas648      Pavarde648      3.10
Vardas649      Pavarde649      3.00
Vardas65       Pavarde65       2.90
Vardas651      Pavarde651      2.30
Vardas653      Pavarde653      4.20
Vardas655      Pavarde655      3.30
Vardas656      Pavarde656      3.50
Vardas658      Pavarde658      4.90
Vardas66       Pavarde66       4.90
Vardas660      Pavarde660      3.80
Vardas663      Pavarde663      1.60
Vardas667      Pavarde667      3.10
Vardas668      Pavarde668      3.70
Vardas67       Pavarde67       2.90
Vardas670      Pavarde670      3.30
Vardas671      Pavarde671      4.00
Vardas672      Pavarde672      4.10
Vardas676      Pavarde676      3.00
Vardas677      Pavarde677      4.20
Vardas679      Pavarde679      4.40
Vardas68       Pavarde68       4.80
Vardas683      Pavarde683      4.90
Vardas687      Pavarde687      4.60
Vardas693      Pavarde693      4.40
Vardas695      Pavarde695      3.50
Vardas696      Pavarde696      4.90
Vardas702      Pavarde702      4.40
Vardas703      Pavarde703      4.50
Vardas704      Pavarde704      3.60
Vardas705      Pavarde705      3.40
Vardas71       Pavarde71       4.70
Vardas710      Pavarde710      3.20
Vardas714      Pavarde714      4.90
Vardas715      Pavarde715      3.30
Vardas716      Pavarde716      2.80
Vardas72       Pavarde72       2.50
Vardas720      Pavarde720      4.80
Vardas725      Pavarde725      2.90
Vardas726      Pavarde726      2.40
Vardas727      Pavarde727      2.80
Vardas728      Pavarde728      3.00
Vardas730      Pavarde730      2.00
Vardas734      Pavarde734      3.40
Vardas741      Pavarde741      4.10
Vardas742      Pavarde742      3.00
Vardas747      Pavarde747      4.90
Vardas748      Pavarde748      2.90
Vardas749      Pavarde749      2.70
Vardas75       Pavarde75       2.90
Vardas756      Pavarde756      2.80
Vardas758      Pavarde758      3.30
Vardas760      Pavarde760      3.40
Vardas762      Pavarde762      4.30
Vardas767      Pavarde767      3.40
Vardas768      Pavarde768      4.10
Vardas770      Pavarde770      3.20
Vardas773      Pavarde773      3.80
Vardas774      Pavarde774      2.40
Vardas775      Pavarde775      3.60
Vardas776      Pavarde776      4.00
Vardas777      Pavarde777      4.90
Vardas778      Pavarde778      4.10
Vardas782      Pavarde782      4.60
Vardas785      Pavarde785      3.90
Vardas787      Pavarde787      4.80
Vardas788      Pavarde788      3.10
Vardas789      Pavarde789      1.40
Vardas79       Pavarde79       3.00
Vardas790      Pavarde790      2.00
Vardas793      Pavarde793      3.90
Vardas797      Pavarde797      4.90
Vardas801      Pavarde801      3.90
Vardas802      Pavarde802      2.50
Vardas804      Pavarde804      4.40
Vardas805      Pavarde805      4.50
Vardas808      Pavarde808      4.40
Vardas812      Pavarde812      2.10
Vardas816      Pavarde816      4.30
Vardas818      Pavarde818      3.80
Vardas820      Pavarde820      4.10
Vardas822      Pavarde822      3.20
Vardas824      Pavarde824      3.20
Vardas83       Pavarde83       4.10
Vardas833      Pavarde833      3.80
Vardas834      Pavarde834      4.00
Vardas835      Pavarde835      4.20
Vardas836      Pavarde836      4.00
Vardas841      Pavarde841      2.00
Vardas842      Pavarde842      4.40
Vardas843      Pavarde843      4.40
Vardas845      Pavarde845      3.10
Vardas846      Pavarde846      4.40
Vardas85       Pavarde85       2.70
Vardas853      Pavarde853      3.90
Vardas855      Pavarde855      3.60
Vardas856      Pavarde856      4.50
Vardas858      Pavarde858      4.20
Vardas861      Pavarde861      2.80
Vardas864      Pavarde864      2.50
Vardas866      Pavarde866      3.20
Vardas868      Pavarde868      4.40
Vardas87       Pavarde87       4.10
Vardas870      Pavarde870      2.90
Vardas872      Pavarde872      3.20
Vardas873      Pavarde873      4.00
Vardas874      Pavarde874      3.20
Vardas877      Pavarde877      3.60
Vardas878      Pavarde878      3.70
Vardas879      Pavarde879      2.70
Vardas880      Pavarde880      2.70
Vardas881      Pavarde881      3.70
Vardas883      Pavarde883      3.80
Vardas884      Pavarde884      3.60
Vardas887      Pavarde887      4.50
Vardas888      Pavarde888      3.40
Vardas892      Pavarde892      4.60
Vardas893      Pavarde893      3.90
Vardas895      Pavarde895      4.60
Vardas896      Pavarde896      3.40
Vardas897      Pavarde897      3.60
Vardas898      Pavarde898      4.00
Vardas899      Pavarde899      2.60
Vardas906      Pavarde906      4.80
Vardas909      Pavarde909      4.40
Vardas91       Pavarde91       3.80
Vardas910      Pavarde910      3.80
Vardas911      Pavarde911      2.60
Vardas914      Pavarde914      4.30
Vardas918      Pavarde918      3.90
Vardas920      Pavarde920      4.70
Vardas921      Pavarde921      3.30
Vardas925      Pavarde925      2.40
Vardas928      Pavarde928      3.20
Vardas933      Pavarde933      4.10
Vardas934      Pavarde934      4.80
Vardas935      Pavarde935      2.20
Vardas938      Pavarde938      2.80
Vardas94       Pavarde94       3.20
Vardas943      Pavarde943      4.90
Vardas944      Pavarde944      3.30
Vardas947      Pavarde947      3.40
Vardas949      Pavarde949      3.80
Vardas95       Pavarde95       3.50
Vardas950      Pavarde950      4.70
Vardas953      Pavarde953      2.50
Vardas954      Pavarde954      3.10
Vardas955      Pavarde955      3.50
Vardas958      Pavarde958      3.20
Vardas96       Pavarde96       3.40
Vardas960      Pavarde960      3.30
Vardas961      Pavarde961      2.30
Vardas967      Pavarde967      3.30
Vardas968      Pavarde968      4.20
Vardas969      Pavarde969      3.80
Vardas976      Pavarde976      4.20
Vardas978      Pavarde978      4.60
Vardas98       Pavarde98       3.10
Vardas986      Pavarde986      4.70
Vardas988      Pavarde988      3.50
Vardas989      Pavarde989      2.30
Vardas991      Pavarde991      3.70
Vardas994      Pavarde994      4.70
Vardas995      Pavarde995      4.40
Vardas996      Pavarde996      2.10
Vardas998      Pavarde998      4.80
