Vardas              Pavarde             Galutinis (Vid.)    
Vardas401      Pavarde401      3.50
Vardas402      Pavarde402      7.80
Vardas403      Pavarde403      2.30
Vardas404      Pavarde404      5.00
Vardas405      Pavarde405      5.60
Vardas406      Pavarde406      8.50
Vardas407      Pavarde407      3.70
Vardas408      Pavarde408      8.60
Vardas409      Pavarde409      4.20
Vardas41       Pavarde41       4.90
Vardas410      Pavarde410      7.80
Vardas411      Pavarde411      6.80
Vardas412      Pavarde412      8.50
Vardas413      Pavarde413      2.90
Vardas414      Pavarde414      5.70
Vardas415      Pavarde415      8.80
Vardas416      Pavarde416      2.20
Vardas417      Pavarde417      3.80
Vardas418      Pavarde418      2.40
Vardas419      Pavarde419      5.40
Vardas42       Pavarde42       7.40
Vardas420      Pavarde420      7.40
Vardas421      Pavarde421      2.40
Vardas422      Pavarde422      4.60
Vardas423      Pavarde423      6.20
Vardas424      Pavarde424      5.90
Vardas425      Pavarde425      5.20
Vardas426      Pavarde426      7.90
Vardas427      Pavarde427      3.00
Vardas428      Pavarde428      3.30
Vardas429      Pavarde429      9.10
Vardas43       Pavarde43       5.90
Vardas430      Pavarde430      8.70
Vardas431      Pavarde431      5.80
Vardas432      Pavarde432      4.00
Vardas433      Pavarde433      6.60
Vardas434      Pavarde434      4.50
Vardas435      Pavarde435      2.60
Vardas436      Pavarde436      3.80
Vardas437      Pavarde437      3.90
Vardas438      Pavarde438      5.40
Vardas439      Pavarde439      4.20
Vardas44       Pavarde44       5.60
Vardas440      Pavarde440      7.40
Vardas441      Pavarde441      4.50
Vardas442      Pavarde442      3.20
Vardas443      Pavarde443      4.70
Vardas444      Pavarde444      4.20
Vardas445      Pavarde445      6.70
Vardas446      Pavarde446      3.40
Vardas447      Pavarde447      8.30
Vardas448      Pavarde448      7.40
Vardas449      Pavarde449      5.70
Vardas45       Pavarde45       3.20
Vardas450      Pavarde450      4.60
Vardas451      Pavarde451      3.60
Vardas452      Pavarde452      3.70
Vardas453      Pavarde453      4.40
Vardas454      Pavarde454      7.40
Vardas455      Pavarde455      7.40
Vardas456      Pavarde456      3.10
Vardas457      Pavarde457      7.30
Vardas458      Pavarde458      2.50
Vardas459      Pavarde459      6.40
Vardas46       Pavarde46       6.50
Vardas460      Pavarde460      6.20
Vardas461      Pavarde461      5.10
Vardas462      Pavarde462      4.20
Vardas463      Pavarde463      7.30
Vardas464      Pavarde464      8.70
Vardas465      Pavarde465      6.20
Vardas466      Pavarde466      5.40
Vardas467      Pavarde467      5.50
Vardas468      Pavarde468      5.70
Vardas469      Pavarde469      3.30
Vardas47       Pavarde47       2.90
Vardas470      Pavarde470      2.30
Vardas471      Pavarde471      2.40
Vardas472      Pavarde472      5.00
Vardas473      Pavarde473      2.60
Vardas474      Pavarde474      3.00
Vardas475      Pavarde475      3.30
Vardas476      Pavarde476      7.60
Vardas477      Pavarde477      3.40
Vardas478      Pavarde478      7.80
Vardas479      Pavarde479      3.50
Vardas48       Pavarde48       5.10
Vardas480      Pavarde480      3.80
Vardas481      Pavarde481      6.60
Vardas482      Pavarde482      4.90
Vardas483      Pavarde483      4.70
Vardas484      Pavarde484      6.70
Vardas485      Pavarde485      3.10
Vardas486      Pavarde486      3.20
Vardas487      Pavarde487      5.80
Vardas488      Pavarde488      6.10
Vardas489      Pavarde489      8.10
Vardas49       Pavarde49       8.20
Vardas490      Pavarde490      7.80
Vardas491      Pavarde491      4.80
Vardas492      Pavarde492      2.60
Vardas493      Pavarde493      5.80
Vardas494      Pavarde494      8.60
Vardas495      Pavarde495      3.50
Vardas496      Pavarde496      6.00
Vardas497      Pavarde497      6.90
Vardas498      Pavarde498      4.60
Vardas499      Pavarde499      6.80
Vardas5        Pavarde5        6.90
Vardas50       Pavarde50       4.50
Vardas500      Pavarde500      5.40
Vardas501      Pavarde501      7.50
Vardas502      Pavarde502      5.50
Vardas503      Pavarde503      8.00
Vardas504      Pavarde504      6.70
Vardas505      Pavarde505      3.30
Vardas506      Pavarde506      3.20
Vardas507      Pavarde507      4.50
Vardas508      Pavarde508      4.10
Vardas509      Pavarde509      4.40
Vardas51       Pavarde51       6.10
Vardas510      Pavarde510      2.50
Vardas511      Pavarde511      4.20
Vardas512      Pavarde512      5.60
Vardas513      Pavarde513      6.00
Vardas514      Pavarde514      4.30
Vardas515      Pavarde515      6.50
Vardas516      Pavarde516      4.70
Vardas517      Pavarde517      3.60
Vardas518      Pavarde518      7.00
Vardas519      Pavarde519      3.40
Vardas52       Pavarde52       4.90
Vardas520      Pavarde520      5.40
Vardas521      Pavarde521      7.70
Vardas522      Pavarde522      6.00
Vardas523      Pavarde523      6.20
Vardas524      Pavarde524      3.20
Vardas525      Pavarde525      3.90
Vardas526      Pavarde526      6.10
Vardas527      Pavarde527      6.10
Vardas528      Pavarde528      3.90
Vardas529      Pavarde529      4.10
Vardas53       Pavarde53       2.80
Vardas530      Pavarde530      7.70
Vardas531      Pavarde531      3.30
Vardas532      Pavarde532      3.40
Vardas533      Pavarde533      7.30
Vardas534      Pavarde534      8.00
Vardas535      Pavarde535      4.10
Vardas536      Pavarde536      7.40
Vardas537      Pavarde537      5.00
Vardas538      Pavarde538      3.20
Vardas539      Pavarde539      7.90
Vardas54       Pavarde54       9.00
Vardas540      Pavarde540      6.20
Vardas541      Pavarde541      8.30
Vardas542      Pavarde542      5.40
Vardas543      Pavarde543      6.70
Vardas544      Pavarde544      2.80
Vardas545      Pavarde545      4.90
Vardas546      Pavarde546      7.00
Vardas547      Pavarde547      6.30
Vardas548      Pavarde548      5.10
Vardas549      Pavarde549      2.40
Vardas55       Pavarde55       3.40
Vardas550      Pavarde550      4.40
Vardas551      Pavarde551      7.50
Vardas552      Pavarde552      6.80
Vardas553      Pavarde553      8.00
Vardas554      Pavarde554      4.70
Vardas555      Pavarde555      3.30
Vardas556      Pavarde556      3.00
Vardas557      Pavarde557      4.90
Vardas558      Pavarde558      6.90
Vardas559      Pavarde559      7.80
Vardas56       Pavarde56       5.90
Vardas560      Pavarde560      7.00
Vardas561      Pavarde561      6.00
Vardas562      Pavarde562      7.00
Vardas563      Pavarde563      2.90
Vardas564      Pavarde564      4.00
Vardas565      Pavarde565      4.60
Vardas566      Pavarde566      7.00
Vardas567      Pavarde567      8.90
Vardas568      Pavarde568      7.60
Vardas569      Pavarde569      6.30
Vardas57       Pavarde57       1.60
Vardas570      Pavarde570      7.60
Vardas571      Pavarde571      7.60
Vardas572      Pavarde572      5.70
Vardas573      Pavarde573      6.30
Vardas574      Pavarde574      3.20
Vardas575      Pavarde575      6.30
Vardas576      Pavarde576      6.60
Vardas577      Pavarde577      6.10
Vardas578      Pavarde578      5.40
Vardas579      Pavarde579      7.00
Vardas58       Pavarde58       6.20
Vardas580      Pavarde580      2.90
Vardas581      Pavarde581      5.80
Vardas582      Pavarde582      4.70
Vardas583      Pavarde583      7.70
Vardas584      Pavarde584      5.80
Vardas585      Pavarde585      5.30
Vardas586      Pavarde586      4.60
Vardas587      Pavarde587      3.00
Vardas588      Pavarde588      4.80
Vardas589      Pavarde589      7.20
Vardas59       Pavarde59       6.00
Vardas590      Pavarde590      2.70
Vardas591      Pavarde591      4.70
Vardas592      Pavarde592      7.30
Vardas593      Pavarde593      7.90
Vardas594      Pavarde594      5.00
Vardas595      Pavarde595      3.00
Vardas596      Pavarde596      8.70
Vardas597      Pavarde597      3.60
Vardas598      Pavarde598      5.70
Vardas599      Pavarde599      3.90
Vardas6        Pavarde6        3.10
Vardas60       Pavarde60       8.10
Vardas600      Pavarde600      3.90
Vardas601      Pavarde601      4.40
Vardas602      Pavarde602      5.40
Vardas603      Pavarde603      7.00
Vardas604      Pavarde604      9.00
Vardas605      Pavarde605      6.30
Vardas606      Pavarde606      3.30
Vardas607      Pavarde607      7.90
Vardas608      Pavarde608      6.60
Vardas609      Pavarde609      5.30
Vardas61       Pavarde61       8.50
Vardas610      Pavarde610      6.20
Vardas611      Pavarde611      4.00
Vardas612      Pavarde612      3.20
Vardas613      Pavarde613      7.90
Vardas614      Pavarde614      3.10
Vardas615      Pavarde615      4.40
Vardas616      Pavarde616      5.80
Vardas617      Pavarde617      4.60
Vardas618      Pavarde618      4.70
Vardas619      Pavarde619      5.40
Vardas62       Pavarde62       3.40
Vardas620      Pavarde620      4.30
Vardas621      Pavarde621      5.20
Vardas622      Pavarde622      4.60
Vardas623      Pavarde623      5.80
Vardas624      Pavarde624      7.50
Vardas625      Pavarde625      3.20
Vardas626      Pavarde626      5.40
Vardas627      Pavarde627      4.20
Vardas628      Pavarde628      5.00
Vardas629      Pavarde629      2.60
Vardas63       Pavarde63       5.90
Vardas630      Pavarde630      4.10
Vardas631      Pavarde631      5.40
Vardas632      Pavarde632      5.90
Vardas633      Pavarde633      5.70
Vardas634      Pavarde634      6.00
Vardas635      Pavarde635      8.90
Vardas636      Pavarde636      3.40
Vardas637      Pavarde637      6.60
Vardas638      Pavarde638      7.00
Vardas639      Pavarde639      2.30
Vardas64       Pavarde64       5.10
Vardas640      Pavarde640      8.00
Vardas641      Pavarde641      4.20
Vardas642      Pavarde642      6.50
Vardas643      Pavarde643      7.00
Vardas644      Pavarde644      5.70
Vardas645      Pavarde645      7.00
Vardas646      Pavarde646      3.00
Vardas647      Pavarde647      6.70
Vardas648      Pavarde648      3.10
Vardas649      Pavarde649      3.00
Vardas65       Pavarde65       2.90
Vardas650      Pavarde650      5.90
Vardas651      Pavarde651      2.30
Vardas652      Pavarde652      9.00
Vardas653      Pavarde653      4.20
Vardas654      Pavarde654      7.70
Vardas655      Pavarde655      3.30
Vardas656      Pavarde656      3.50
Vardas657      Pavarde657      7.50
Vardas658      Pavarde658      4.90
Vardas659      Pavarde659      6.60
Vardas66       Pavarde66       4.90
Vardas660      Pavarde660      3.80
Vardas661      Pavarde661      5.20
Vardas662      Pavarde662      5.80
Vardas663      Pavarde663      1.60
Vardas664      Pavarde664      5.60
Vardas665      Pavarde665      6.70
Vardas666      Pavarde666      7.20
Vardas667      Pavarde667      3.10
Vardas668      Pavarde668      3.70
Vardas669      Pavarde669      5.30
Vardas67       Pavarde67       2.90
Vardas670      Pavarde670      3.30
Vardas671      Pavarde671      4.00
Vardas672      Pavarde672      4.10
Vardas673      Pavarde673      8.20
Vardas674      Pavarde674      6.70
Vardas675      Pavarde675      8.60
Vardas676      Pavarde676      3.00
Vardas677      Pavarde677      4.20
Vardas678      Pavarde678      8.60
Vardas679      Pavarde679      4.40
Vardas68       Pavarde68       4.80
Vardas680      Pavarde680      6.80
Vardas681      Pavarde681      5.60
Vardas682      Pavarde682      5.70
Vardas683      Pavarde683      4.90
Vardas684      Pavarde684      6.30
Vardas685      Pavarde685      6.80
Vardas686      Pavarde686      6.30
Vardas687      Pavarde687      4.60
Vardas688      Pavarde688      8.20
Vardas689      Pavarde689      5.90
Vardas69       Pavarde69       7.00
Vardas690      Pavarde690      5.60
Vardas691      Pavarde691      5.80
Vardas692      Pavarde692      6.90
Vardas693      Pavarde693      4.40
Vardas694      Pavarde694      5.40
Vardas695      Pavarde695      3.50
Vardas696      Pavarde696      4.90
Vardas697      Pavarde697      6.60
Vardas698      Pavarde698      7.10
Vardas699      Pavarde699      5.20
Vardas7        Pavarde7        7.00
Vardas70       Pavarde70       6.40
Vardas700      Pavarde700      5.40
Vardas701      Pavarde701      8.60
Vardas702      Pavarde702      4.40
Vardas703      Pavarde703      4.50
Vardas704      Pavarde704      3.60
Vardas705      Pavarde705      3.40
Vardas706      Pavarde706      5.30
Vardas707      Pavarde707      5.00
Vardas708      Pavarde708      6.00
Vardas709      Pavarde709      6.50
Vardas71       Pavarde71       4.70
Vardas710      Pavarde710      3.20
Vardas711      Pavarde711      9.00
Vardas712      Pavarde712      5.90
Vardas713      Pavarde713      7.90
Vardas714      Pavarde714      4.90
Vardas715      Pavarde715      3.30
Vardas716      Pavarde716      2.80
Vardas717      Pavarde717      6.50
Vardas718      Pavarde718      6.00
Vardas719      Pavarde719      6.60
Vardas72       Pavarde72       2.50
Vardas720      Pavarde720      4.80
Vardas721      Pavarde721      6.40
Vardas722      Pavarde722      6.90
Vardas723      Pavarde723      7.10
Vardas724      Pavarde724      7.60
Vardas725      Pavarde725      2.90
Vardas726      Pavarde726      2.40
Vardas727      Pavarde727      2.80
Vardas728      Pavarde728      3.00
Vardas729      Pavarde729      6.00
Vardas73       Pavarde73       7.60
Vardas730      Pavarde730      2.00
Vardas731      Pavarde731      6.90
Vardas732      Pavarde732      7.10
Vardas733      Pavarde733      7.00
Vardas734      Pavarde734      3.40
Vardas735      Pavarde735      6.70
Vardas736      Pavarde736      8.50
Vardas737      Pavarde737      5.10
Vardas738      Pavarde738      6.10
Vardas739      Pavarde739      7.90
Vardas74       Pavarde74       7.50
Vardas740      Pavarde740      7.30
Vardas741      Pavarde741      4.10
Vardas742      Pavarde742      3.00
Vardas743      Pavarde743      5.90
Vardas744      Pavarde744      8.20
Vardas745      Pavarde745      7.90
Vardas746      Pavarde746      6.40
Vardas747      Pavarde747      4.90
Vardas748      Pavarde748      2.90
Vardas749      Pavarde749      2.70
Vardas75       Pavarde75       2.90
Vardas750      Pavarde750      6.50
Vardas751      Pavarde751      8.60
Vardas752      Pavarde752      5.60
Vardas753      Pavarde753      5.10
Vardas754      Pavarde754      6.10
Vardas755      Pavarde755      7.60
Vardas756      Pavarde756      2.80
Vardas757      Pavarde757      6.30
Vardas758      Pavarde758      3.30
Vardas759      Pavarde759      6.20
Vardas76       Pavarde76       6.60
Vardas760      Pavarde760      3.40
Vardas761      Pavarde761      6.90
Vardas762      Pavarde762      4.30
Vardas763      Pavarde763      5.20
Vardas764      Pavarde764      6.00
Vardas765      Pavarde765      7.80
Vardas766      Pavarde766      6.40
Vardas767      Pavarde767      3.40
Vardas768      Pavarde768      4.10
Vardas769      Pavarde769      5.10
Vardas77       Pavarde77       5.40
Vardas770      Pavarde770      3.20
Vardas771      Pavarde771      6.40
Vardas772      Pavarde772      5.20
Vardas773      Pavarde773      3.80
Vardas774      Pavarde774      2.40
Vardas775      Pavarde775      3.60
Vardas776      Pavarde776      4.00
Vardas777      Pavarde777      4.90
Vardas778      Pavarde778      4.10
Vardas779      Pavarde779      6.00
Vardas78       Pavarde78       7.50
Vardas780      Pavarde780      6.60
Vardas781      Pavarde781      7.10
Vardas782      Pavarde782      4.60
Vardas783      Pavarde783      6.00
Vardas784      Pavarde784      8.00
Vardas785      Pavarde785      3.90
Vardas786      Pavarde786      5.00
Vardas787      Pavarde787      4.80
Vardas788      Pavarde788      3.10
Vardas789      Pavarde789      1.40
Vardas79       Pavarde79       3.00
Vardas790      Pavarde790      2.00
Vardas791      Pavarde791      5.90
Vardas792      Pavarde792      5.20
Vardas793      Pavarde793      3.90
Vardas794      Pavarde794      6.00
Vardas795      Pavarde795      5.00
Vardas796      Pavarde796      7.90
Vardas797      Pavarde797      4.90
Vardas798      Pavarde798      5.90
Vardas799      Pavarde799      7.70
Vardas8        Pavarde8        7.90
Vardas80       Pavarde80       5.30
Vardas800      Pavarde800      5.60
Vardas801      Pavarde801      3.90
Vardas802      Pavarde802      2.50
Vardas803      Pavarde803      7.00
Vardas804      Pavarde804      4.40
Vardas805      Pavarde805      4.50
Vardas806      Pavarde806      6.90
Vardas807      Pavarde807      9.20
Vardas808      Pavarde808      4.40
Vardas809      Pavarde809      8.00
Vardas81       Pavarde81       8.50
Vardas810      Pavarde810      5.40
Vardas811      Pavarde811      6.90
Vardas812      Pavarde812      2.10
Vardas813      Pavarde813      5.00
Vardas814      Pavarde814      5.30
Vardas815      Pavarde815      5.50
Vardas816      Pavarde816      4.30
Vardas817      Pavarde817      6.40
Vardas818      Pavarde818      3.80
Vardas819      Pavarde819      9.30
Vardas82       Pavarde82       6.20
Vardas820      Pavarde820      4.10
Vardas821      Pavarde821      6.60
Vardas822      Pavarde822      3.20
Vardas823      Pavarde823      9.00
Vardas824      Pavarde824      3.20
Vardas825      Pavarde825      6.90
Vardas826      Pavarde826      7.80
Vardas827      Pavarde827      5.50
Vardas828      Pavarde828      5.50
Vardas829      Pavarde829      8.40
Vardas83       Pavarde83       4.10
Vardas830      Pavarde830      7.20
Vardas831      Pavarde831      7.40
Vardas832      Pavarde832      7.40
Vardas833      Pavarde833      3.80
Vardas834      Pavarde834      4.00
Vardas835      Pavarde835      4.20
